name,price,year,mileage,engine,date_listed,day_listed,month_listed,year_listed,days_since_listed,link
 ,£4495,2015,44000,1.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292956053?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£21290,2017,14000,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292956028?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£2500,2009,225000,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292956021?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£2250,2010,114000,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292956020?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£8790,2019,114103,,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292956013?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£15499,2022,40500,1.8,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292956009?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£5150,2015,78000,1.4,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292956003?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£1495,2010,151131,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955995?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£12995,2020,23000,1.5,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955994?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£8570,2011,60171,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955993?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£9490,2014,90000,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955989?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£3995,2012,92696,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955978?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£25895,2019,45304,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955977?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£3790,2015,149773,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955975?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£6295,2016,93951,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955973?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£5495,2010,47226,3.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955969?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£11000,1999,98115,2.2,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955966?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£2150,2007,65552,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955965?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£19490,2019,38880,1.5,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955964?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£4940,2013,31345,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955961?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£15339,2008,19038,1.2,05/05/2025,05,5,2025,25,https://www.autotrader.co.uk/car-details/202505052047178?journey=FEATURED_LISTING_JOURNEY&sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£3089,2011,167000,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955960?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£895,2008,72000,1.4,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955959?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£11233,2015,76295,2.2,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955958?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£11995,2018,115000,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955957?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£26990,2017,58000,3.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955953?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£4990,2006,48656,3.2,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955948?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
